epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.2051,1.43502,3.11021,1.6384,0.46046,0.62684,0.51757,0.36249,1.08756,2.84993,1.40438,1.667e-05,1.667e-05,1.667e-05
2,22.1416,1.31642,2.83556,1.63193,0.49942,0.625,0.61152,0.43394,1.00226,4.7071,1.31403,4.95149e-05,4.95149e-05,4.95149e-05
3,32.9691,1.03787,1.70573,1.30816,0.51201,0.90443,0.70225,0.52759,0.89376,5.85136,1.17716,8.16997e-05,8.16997e-05,8.16997e-05
4,45.0155,1.01931,1.55852,1.29383,0.76158,0.82653,0.86081,0.65217,0.95796,2.45968,1.1924,0.000113224,0.000113224,0.000113224
5,58.4827,0.93069,1.40194,1.22354,0.88957,0.93952,0.9578,0.78141,0.80562,3.97544,1.06892,0.000144089,0.000144089,0.000144089
6,71.9171,0.85168,1.32076,1.13312,0.90509,0.9375,0.95793,0.81247,0.70648,3.95561,1.01505,0.000174293,0.000174293,0.000174293
7,83.811,0.85772,1.03304,1.08898,0.90692,0.96875,0.97056,0.82518,0.69049,2.22936,1.00294,0.000203837,0.000203837,0.000203837
8,94.6944,0.80175,1.09506,1.05518,0.86092,1,0.96457,0.79693,0.75958,1.48445,1.03976,0.000232722,0.000232722,0.000232722
9,105.525,0.82902,1.04565,1.09729,0.83537,0.99723,0.96967,0.75508,0.84839,1.29262,1.13035,0.000260946,0.000260946,0.000260946
10,116.312,0.86265,1.02971,1.16221,0.92897,1,0.96733,0.77291,0.79505,0.91984,1.13436,0.000288509,0.000288509,0.000288509
11,127.446,0.88177,1.15833,1.18119,0.94345,0.92417,0.96733,0.78557,0.73449,1.03784,1.07146,0.000315413,0.000315413,0.000315413
12,138.093,0.93446,0.96475,1.11321,0.91156,1,0.97229,0.78588,0.69529,1.11562,1.03699,0.000341657,0.000341657,0.000341657
13,148.741,0.78989,0.76919,1.09761,0.9296,1,0.96733,0.7784,0.75398,1.02621,1.07313,0.00036724,0.00036724,0.00036724
14,159.449,0.79187,0.90124,1.11028,0.9372,0.97762,0.98198,0.74303,0.95422,0.89685,1.27086,0.000392163,0.000392163,0.000392163
15,170.178,0.73555,0.83323,1.10476,0.90795,0.96875,0.9824,0.69387,1.01145,0.9704,1.38373,0.000416427,0.000416427,0.000416427
16,180.858,0.84467,0.74115,1.02999,0.93284,1,0.984,0.75545,0.84592,1.38761,1.2036,0.00044003,0.00044003,0.00044003
17,191.595,0.76229,0.84129,1.04567,0.92278,1,0.984,0.77234,0.79221,1.36615,1.15583,0.000462973,0.000462973,0.000462973
18,202.356,0.79968,0.71183,0.98561,0.89335,0.96548,0.97461,0.72589,0.85973,1.16642,1.20846,0.000485255,0.000485255,0.000485255
19,213.05,0.90373,0.76223,1.07349,0.63916,0.72035,0.68237,0.5359,0.86348,1.48149,1.19515,0.000506878,0.000506878,0.000506878
20,223.685,0.79417,0.84626,0.99479,0.69111,0.9266,0.87946,0.66254,0.95135,1.80784,1.22297,0.000527841,0.000527841,0.000527841
21,234.368,0.73736,0.74056,1.02593,0.63226,0.97865,0.90637,0.67864,0.89807,2.34939,1.15661,0.000548143,0.000548143,0.000548143
22,245.064,0.81065,0.76454,1.05923,0.93484,0.99598,0.9715,0.79606,0.76385,0.88272,1.08836,0.000567785,0.000567785,0.000567785
23,255.82,0.68357,0.69364,0.99896,0.90497,1,0.96188,0.78894,0.81366,1.05924,1.1298,0.000586767,0.000586767,0.000586767
24,266.54,0.68043,0.7251,1.05693,0.82967,0.99474,0.93789,0.70679,0.9795,0.93216,1.31136,0.000605089,0.000605089,0.000605089
25,277.195,0.8022,0.78439,1.04093,0.82177,0.8894,0.92518,0.7499,0.82274,0.9437,1.14884,0.000622751,0.000622751,0.000622751
