epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.62779,0.62073,1.46465,0.96419,0.71577,0.59967,0.66963,0.6032,0.61682,1.77571,0.9689,1.667e-05,1.667e-05,1.667e-05
2,9.23639,0.77137,1.7419,1.12317,0.8217,0.58017,0.73613,0.66428,0.61791,1.60403,0.95893,4.90198e-05,4.90198e-05,4.90198e-05
3,13.8549,0.73102,1.4594,0.99663,0.88744,0.57026,0.79531,0.70023,0.62012,1.43816,0.95965,8.00493e-05,8.00493e-05,8.00493e-05
4,18.4814,0.61558,1.31329,1.04909,0.78257,0.71675,0.87961,0.77385,0.6043,1.30752,0.94138,0.000109759,0.000109759,0.000109759
5,23.1438,0.65914,1.31087,1.05547,0.87005,0.79252,0.93233,0.80901,0.58598,1.10758,0.9141,0.000138148,0.000138148,0.000138148
6,27.7291,0.77082,1.32454,1.09289,0.97198,0.91143,0.95471,0.84966,0.54705,1.0129,0.89033,0.000165216,0.000165216,0.000165216
7,32.2701,0.67059,1.24063,1.03876,0.92533,0.87831,0.95611,0.84919,0.53515,1.03979,0.88593,0.000190965,0.000190965,0.000190965
8,36.9864,0.67855,1.11934,1.00393,0.92104,0.91204,0.96444,0.85552,0.51445,0.94798,0.87541,0.000215393,0.000215393,0.000215393
9,41.8139,0.67334,0.94836,1.01563,0.94323,0.91667,0.98012,0.86272,0.534,0.89642,0.88296,0.000238501,0.000238501,0.000238501
10,46.3977,0.70814,0.97974,1.04794,0.96229,0.91667,0.98298,0.85826,0.56576,0.86079,0.90234,0.000260289,0.000260289,0.000260289
11,51.1469,0.87036,0.98885,1.1316,0.96609,0.91546,0.99079,0.86135,0.57364,0.83126,0.90598,0.000280756,0.000280756,0.000280756
12,55.7192,0.79017,0.9838,1.08251,0.95076,0.9396,0.99368,0.88007,0.57393,0.86257,0.9092,0.000299903,0.000299903,0.000299903
13,60.3066,0.64731,0.90462,0.98252,0.97068,0.94734,0.995,0.88941,0.55774,0.87296,0.90515,0.00031773,0.00031773,0.00031773
14,64.9676,0.68915,0.78838,1.04748,0.99526,0.97222,0.99368,0.88754,0.53616,0.8695,0.8895,0.000334237,0.000334237,0.000334237
15,69.5356,0.55988,0.83423,1.03666,0.99444,0.97222,0.99368,0.8879,0.51204,0.87927,0.87666,0.000349423,0.000349423,0.000349423
16,74.1963,0.68831,0.77817,0.99619,0.98872,0.95947,0.995,0.88942,0.54097,0.85591,0.89294,0.000363289,0.000363289,0.000363289
17,79.0429,0.63327,0.80107,1.05248,0.9895,0.99685,0.995,0.87498,0.57816,0.80556,0.90828,0.000375835,0.000375835,0.000375835
18,83.9097,0.7122,0.82152,0.98377,0.99302,1,0.995,0.87107,0.59599,0.77665,0.91716,0.000387061,0.000387061,0.000387061
19,88.6286,0.76854,0.72611,1.06067,0.99265,1,0.995,0.86862,0.57701,0.74458,0.9081,0.000396966,0.000396966,0.000396966
20,93.0703,0.77246,0.80848,0.99048,0.98811,1,0.995,0.86958,0.55686,0.72949,0.89923,0.000405551,0.000405551,0.000405551
21,97.4421,0.64977,0.77898,0.97562,0.95366,0.97417,0.995,0.85206,0.57141,0.77997,0.91214,0.000412816,0.000412816,0.000412816
22,101.893,0.71662,0.79137,1.00882,0.91409,0.97059,0.99361,0.87704,0.53391,0.84774,0.88727,0.00041876,0.00041876,0.00041876
23,106.292,0.72988,0.83869,1.05196,0.96713,1,0.995,0.9033,0.47977,0.76284,0.86045,0.000423385,0.000423385,0.000423385
24,110.713,0.6359,0.77667,1.0282,0.99561,1,0.995,0.88834,0.51523,0.74067,0.87336,0.000426689,0.000426689,0.000426689
25,115.151,0.75031,0.79155,1.06776,0.99545,1,0.995,0.87811,0.53133,0.71154,0.88082,0.000428672,0.000428672,0.000428672
26,119.505,0.65731,0.72769,1.00313,0.9933,1,0.995,0.87328,0.56257,0.69195,0.89586,0.000429336,0.000429336,0.000429336
27,123.853,0.65301,0.72089,0.98435,0.9901,1,0.995,0.88532,0.5384,0.67239,0.88509,0.000428679,0.000428679,0.000428679
28,128.202,0.69026,0.81249,1.04073,0.9901,1,0.995,0.88532,0.5384,0.67239,0.88509,0.000426702,0.000426702,0.000426702
29,132.595,0.72043,0.97574,1.08914,0.98609,1,0.995,0.88439,0.51348,0.66161,0.87491,0.000423405,0.000423405,0.000423405
30,136.964,0.62925,0.70651,0.9267,0.98605,1,0.995,0.88928,0.51653,0.6636,0.8758,0.000418787,0.000418787,0.000418787
31,141.316,0.62858,0.77613,0.96669,0.98605,1,0.995,0.88928,0.51653,0.6636,0.8758,0.000412849,0.000412849,0.000412849
32,145.669,0.6692,0.82218,1.04821,0.98432,1,0.995,0.89696,0.50147,0.64233,0.86426,0.000405591,0.000405591,0.000405591
33,150.047,0.58458,0.63081,0.92862,0.98757,1,0.995,0.893,0.49158,0.61386,0.86016,0.000397013,0.000397013,0.000397013
34,154.416,0.58456,0.70084,0.99974,0.98757,1,0.995,0.893,0.49158,0.61386,0.86016,0.000387114,0.000387114,0.000387114
35,158.802,0.63474,0.72199,1.10006,0.99344,1,0.995,0.89734,0.47871,0.60828,0.86016,0.000375895,0.000375895,0.000375895
36,163.174,0.69949,0.75232,1.02366,0.9943,1,0.995,0.90281,0.4668,0.61907,0.85844,0.000363356,0.000363356,0.000363356
