epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.91423,0.62125,0.95038,1.07719,0.99685,1,0.995,0.82295,0.5355,0.89707,1.01948,2e-05,2e-05,2e-05
2,7.83903,0.53588,0.7315,0.95771,0.99694,1,0.995,0.87247,0.53354,0.80504,1.0316,5.8812e-05,5.8812e-05,5.8812e-05
3,11.7812,0.54091,0.75742,1.07125,0.99702,1,0.995,0.86558,0.53778,0.75965,1.0686,9.604e-05,9.604e-05,9.604e-05
4,15.8157,0.54796,0.68776,1.03699,0.99709,1,0.995,0.8512,0.55396,0.83126,1.11475,0.000131684,0.000131684,0.000131684
5,19.8145,0.57399,0.6203,0.97959,0.99704,1,0.995,0.85567,0.57656,0.97917,1.14102,0.000165744,0.000165744,0.000165744
6,23.8493,0.62769,0.68612,0.99559,0.9965,1,0.995,0.86579,0.58111,1.03803,1.12045,0.00019822,0.00019822,0.00019822
7,27.7201,0.70384,0.79249,1.21369,0.99539,1,0.995,0.87051,0.59164,1.00194,1.07901,0.000229112,0.000229112,0.000229112
8,31.598,0.83223,1.08723,1.38236,0.99642,1,0.995,0.84356,0.7053,0.93804,1.17078,0.00025842,0.00025842,0.00025842
9,35.441,0.7918,0.82038,1.21479,0.99682,1,0.995,0.84369,0.71066,0.90388,1.17243,0.000286144,0.000286144,0.000286144
10,39.2637,0.51608,0.74421,0.90854,0.997,1,0.995,0.85407,0.67501,0.84979,1.15199,0.000312284,0.000312284,0.000312284
11,43.0379,0.65789,0.70127,0.98274,0.99696,1,0.995,0.84978,0.6532,0.82884,1.12597,0.00033684,0.00033684,0.00033684
12,47.0532,0.5485,0.88586,1.10264,0.99688,1,0.995,0.86778,0.5672,0.7859,1.05591,0.000359812,0.000359812,0.000359812
13,50.9573,0.57806,0.6788,0.98106,0.99694,1,0.995,0.87791,0.52242,0.75149,1.03946,0.0003812,0.0003812,0.0003812
14,54.8773,0.52725,0.65461,0.92805,0.99687,1,0.995,0.86596,0.51396,0.72991,1.03507,0.000401004,0.000401004,0.000401004
15,58.6658,0.55715,0.65,1.10737,0.99685,1,0.995,0.8958,0.51138,0.6866,1.01951,0.000419224,0.000419224,0.000419224
16,62.4512,0.50276,0.59863,0.98014,0.997,1,0.995,0.8414,0.60922,0.67013,1.082,0.00043586,0.00043586,0.00043586
17,66.3614,0.64006,0.66988,0.96699,0.997,1,0.995,0.863,0.59839,0.74024,1.04694,0.000450912,0.000450912,0.000450912
