epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.6926,0.67154,1.01886,0.88726,0.99412,1,0.995,0.87388,0.54475,1.04811,0.81984,0,0,0
2,15.8873,0.53734,0.77332,0.83234,0.99425,1,0.995,0.87388,0.53259,1.03086,0.81553,1.9604e-05,1.9604e-05,1.9604e-05
3,23.7647,0.424,0.81753,0.88899,0.99452,1,0.995,0.87541,0.52108,1.00114,0.80967,3.8416e-05,3.8416e-05,3.8416e-05
4,31.9428,0.47855,0.88601,0.88918,0.99483,1,0.995,0.88051,0.5185,0.96344,0.80957,5.6436e-05,5.6436e-05,5.6436e-05
5,39.492,0.54993,0.75954,0.89811,0.99514,1,0.995,0.86453,0.54027,0.92973,0.81589,7.3664e-05,7.3664e-05,7.3664e-05
6,47.7275,0.59784,0.74687,0.88821,0.99541,1,0.995,0.86946,0.5645,0.88747,0.82582,9.01e-05,9.01e-05,9.01e-05
7,55.4283,0.5946,0.77656,0.97563,0.99538,1,0.995,0.8594,0.56193,0.86553,0.82715,0.000105744,0.000105744,0.000105744
8,64.2988,0.49379,0.71284,0.852,0.99538,1,0.995,0.86391,0.54755,0.84175,0.82302,0.000120596,0.000120596,0.000120596
9,72.156,0.55091,0.71284,0.8494,0.99549,1,0.995,0.86999,0.569,0.86183,0.82628,0.000134656,0.000134656,0.000134656
10,80.2043,0.45507,0.64889,0.84779,0.99558,1,0.995,0.86436,0.62729,0.8951,0.83588,0.000147924,0.000147924,0.000147924
11,88.5417,0.52176,0.77963,0.81518,0.99562,1,0.995,0.86357,0.64752,0.89544,0.83881,0.0001604,0.0001604,0.0001604
12,96.4631,0.48648,0.80568,0.84546,0.99559,1,0.995,0.87791,0.64568,0.897,0.84261,0.000172084,0.000172084,0.000172084
13,104.233,0.51341,0.72146,0.82399,0.99552,1,0.995,0.87472,0.60047,0.87867,0.83905,0.000182976,0.000182976,0.000182976
14,112.045,0.49914,0.86163,0.87366,0.99536,1,0.995,0.86671,0.58093,0.86012,0.84375,0.000193076,0.000193076,0.000193076
15,119.948,0.56694,0.83067,0.92955,0.99534,1,0.995,0.86429,0.56323,0.87611,0.83993,0.000202384,0.000202384,0.000202384
16,128.126,0.62282,0.79523,0.89378,0.9953,1,0.995,0.86369,0.56915,0.91757,0.83188,0.0002109,0.0002109,0.0002109
17,136.044,0.61082,0.88996,0.86029,0.99511,1,0.995,0.87865,0.53536,0.91014,0.8173,0.000218624,0.000218624,0.000218624
18,143.834,0.59844,0.86217,0.9186,0.99511,1,0.995,0.87865,0.53536,0.91014,0.8173,0.000225556,0.000225556,0.000225556
